cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,keep_ratio,sparsity_ratio,_status
1,8,64,4096,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,0.23441343910992146,0.22732800245285034,0.3180032029747963,5.733007349967957,5.725183963775635,5.807564902305603,5.9760332727432255,5.9402241706848145,6.024191856384277,848.125,1.0109989643096924,0.8183107376098633,0.06151604832804491,0.9384839516719551,ok
1,8,64,4096,fp16,cuda,prefill,local_window,masked_sdpa,True,,64,,0.2320588780194521,0.22271999716758728,0.2878463864326477,4.351784954071045,4.344320058822632,4.412569570541382,4.570357747077942,4.562943935394287,4.631859397888183,968.125,2.723726749420166,0.3338388204574585,0.015504837036132812,0.9844951629638672,ok
1,8,64,4096,fp16,cuda,prefill,local_window,masked_sdpa,True,,128,,0.22537183811422437,0.22220799326896667,0.2418688058853148,4.350126066207886,4.341760158538818,4.409395384788513,4.568360953330994,4.561920166015625,4.620441508293152,968.125,1.9671489000320435,0.452274352312088,0.030765533447265625,0.9692344665527344,ok
1,8,64,4096,fp16,cuda,prefill,local_window,masked_sdpa,True,,256,,0.23159647852182388,0.22630399465560913,0.27985921204090114,4.360017943382263,4.340224027633667,4.405708956718445,4.568924150466919,4.558847904205322,4.625715374946594,968.125,1.3124500513076782,0.6035152673721313,0.06055450439453125,0.9394454956054688,ok
1,8,64,4096,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,30.429143104553223,30.37491226196289,30.697472476959227,4.520161275863647,4.525055885314941,4.610303831100464,34.8452250289917,34.83340835571289,35.011636352539064,1080.125,2.8561761379241943,0.3209177255630493,0.029320234317793507,0.9706797656822065,ok
1,8,64,4096,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,31.52986125946045,31.49772834777832,31.862784576416015,4.501268453598023,4.484095811843872,4.589670538902283,36.18680843353272,36.1210880279541,36.46740322113037,1080.125,1.9569153785705566,0.4511491060256958,0.06104314132291921,0.9389568586770808,ok
1,8,64,4096,fp16,cuda,decode,dense,dense_sdpa,True,,,,0.004689919962547719,0.004095999989658594,0.0071680000983178616,0.010772479898296296,0.010239999741315842,0.01228800043463707,0.011479039955884219,0.011264000087976456,0.013670399831607918,16.1279296875,0.0,1.0,1.0,0.0,ok
1,8,64,4096,fp16,cuda,decode,topk,masked_sdpa,True,32,,,0.008509439874906093,0.005119999870657921,0.006195200211368498,0.13500415906310081,0.13516800105571747,0.1372160017490387,0.13985791862010954,0.1372160017490387,0.13931520208716391,48.189453125,1.0278242826461792,-0.01346549578011036,1.0,0.0,ok
1,8,64,4096,fp16,cuda,decode,topk,masked_sdpa,True,64,,,0.005201919940300286,0.005119999870657921,0.006144000217318535,0.137113596200943,0.13414399325847626,0.13619199395179749,0.13884415812790393,0.13619199395179749,0.14028799533843994,48.189453125,1.003847360610962,0.042923688888549805,1.0,0.0,ok
1,8,64,4096,fp16,cuda,decode,topk,masked_sdpa,True,128,,,0.005652479955460876,0.005119999870657921,0.009216000325977802,0.13903871759772302,0.13619199395179749,0.14341120347380637,0.1393151994049549,0.1382399946451187,0.14341120347380637,48.189453125,1.0093069076538086,-0.02928919531404972,1.0,0.0,ok
1,8,64,4096,fp16,cuda,decode,local_window,masked_sdpa,True,,64,,0.007342080038506537,0.006144000217318535,0.009216000325977802,0.11315200030803681,0.11161600053310394,0.12088320329785347,0.1148928015679121,0.1157120019197464,0.11980800330638885,48.193359375,0.0,0.9999998807907104,0.000244140625,0.999755859375,ok
1,8,64,4096,fp16,cuda,decode,local_window,masked_sdpa,True,,128,,0.005785600028466433,0.005119999870657921,0.009216000325977802,0.11200512066483498,0.11161600053310394,0.11678720228374004,0.11686912089586259,0.11264000087976456,0.11985920332372188,48.193359375,0.0,1.0,0.000244140625,0.999755859375,ok
1,8,64,4096,fp16,cuda,decode,local_window,masked_sdpa,True,,256,,0.005898239973466843,0.005119999870657921,0.010239999741315842,0.11062272019684315,0.11008000001311302,0.11673600226640701,0.11437056109309196,0.11264000087976456,0.11776000261306763,48.193359375,0.0,1.0000001192092896,0.000244140625,0.999755859375,ok
1,8,64,4096,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,0.0051609599287621676,0.005119999870657921,0.008191999979317188,0.11165983997285366,0.10956799983978271,0.11898880265653132,0.11122688040137291,0.11161600053310394,0.1157120019197464,48.18994140625,0.9992367625236511,0.04125680401921272,1.0,0.0,ok
1,8,64,4096,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,0.004966399928089231,0.005119999870657921,0.006144000217318535,0.11262975983321667,0.10956799983978271,0.11473920159041881,0.11520000003278255,0.11059200018644333,0.11878400295972824,48.18994140625,0.9995630383491516,0.02964026853442192,1.0,0.0,ok
